,0,1,2,3,4,5,6
318,66,66,89,66,66,66,80
319,84,69,86,84,86,84,86
320,69,69,79,79,69,79,69
321,77,77,77,69,77,69,69
322,70,85,88,85,88,88,85
323,88,70,73,73,73,73,70
324,70,70,85,85,70,85,85
325,88,88,88,80,70,80,88
326,73,70,89,89,89,80,70
327,85,80,70,85,78,70,80
328,86,73,73,86,85,85,88
329,78,88,78,80,78,80,71
330,70,70,70,70,80,70,70
331,74,70,70,74,74,74,88
332,88,70,70,88,70,78,70
333,88,70,85,85,70,70,85
334,85,85,85,85,78,73,70
335,70,70,77,70,77,70,77
336,78,88,70,78,78,70,88
337,77,88,70,80,80,88,77
338,77,77,77,77,70,77,77
339,80,70,70,70,80,73,80
340,80,80,70,80,80,80,70
341,70,70,70,70,77,77,70
342,77,70,85,77,77,77,70
343,73,70,83,70,83,73,70
344,70,70,80,70,80,70,70
345,77,77,80,80,70,70,80
346,80,70,70,80,70,78,78
347,77,77,80,71,77,77,80
348,80,71,80,80,88,71,78
349,73,71,71,71,88,71,88
350,88,73,71,71,85,88,85
351,83,83,71,83,71,83,71
352,70,70,70,70,84,70,84
353,83,71,83,87,83,87,83
354,71,71,71,71,77,77,71
355,74,88,71,88,71,87,88
356,80,88,85,85,67,67,80
357,80,80,80,48,80,48,80
358,70,88,87,73,70,73,74
359,88,88,70,70,70,70,88
360,70,70,79,70,79,79,79
361,88,88,70,88,78,70,70
362,77,77,77,84,73,73,77
363,73,68,73,68,68,68,73
364,77,77,77,68,77,77,77
365,80,80,80,68,80,80,80
366,80,80,68,80,68,68,80
367,77,77,68,68,68,68,77
368,69,69,77,77,69,69,77
369,77,69,69,77,77,77,69
370,88,80,69,69,69,69,69
371,86,80,86,80,80,69,80
372,68,68,68,68,68,77,68
373,68,68,87,87,74,68,68
374,73,68,76,73,68,68,73
375,80,68,68,68,80,68,68
376,67,67,77,77,77,67,67
377,76,76,77,77,67,76,67
378,67,80,67,67,67,67,67
379,83,68,68,83,83,83,83
380,87,73,87,87,73,67,67
381,86,67,67,67,77,77,77
382,77,77,77,67,80,80,77
383,76,67,76,76,76,77,76
384,67,67,67,77,77,67,77
385,67,77,77,67,74,67,86
386,77,66,66,66,66,77,77
387,66,80,66,66,80,80,66
388,73,73,77,73,73,67,73
389,76,67,74,76,74,67,76
390,77,66,77,77,77,66,77
391,66,66,77,77,77,77,77
392,66,66,80,80,66,80,80
393,77,77,77,77,77,77,77
394,86,85,77,86,86,77,86
395,77,66,77,66,77,66,77
396,77,77,83,83,78,77,67
397,66,66,73,73,73,73,73
398,66,66,74,66,73,66,66
399,73,77,74,66,77,77,73
400,77,77,77,76,76,76,76
401,68,68,77,68,68,68,77
402,86,77,88,88,63,77,63
403,74,78,78,73,74,74,73
404,75,75,75,13,76,13,75
405,74,74,74,85,69,73,69
406,69,83,88,69,69,83,69
407,69,69,77,77,69,69,69
408,69,69,75,88,88,69,69
409,80,77,80,77,77,77,80
410,77,69,69,69,69,69,69
411,81,86,69,77,69,77,81
412,69,69,77,77,77,69,77
413,83,83,69,69,69,83,69
414,77,77,77,77,77,77,77
415,90,76,76,77,76,77,77
416,30,80,30,80,30,30,80
417,34,76,80,80,34,34,80
418,76,76,84,23,23,23,84
419,77,76,84,37,37,37,76
420,84,75,75,75,84,84,24
421,86,80,69,80,86,86,80
422,75,69,76,77,76,77,69
423,81,76,76,87,81,80,76
424,69,83,69,69,69,69,69
425,65,65,65,65,77,65,77
426,89,76,89,88,88,89,76
427,35,35,80,35,80,35,80
428,44,44,77,77,44,44,44
429,24,24,24,80,80,24,87
430,6,89,6,89,77,77,89
431,59,59,74,59,59,73,73
432,75,75,76,84,13,76,13
433,77,77,77,77,77,62,77
434,87,87,29,29,87,87,87
435,77,90,90,77,77,77,90
436,54,83,54,54,54,83,83
437,65,83,65,83,83,83,83
438,83,83,83,83,83,56,56
439,66,66,83,66,83,66,83
440,55,55,55,83,55,83,55
441,52,83,83,52,52,83,52
442,63,63,63,83,83,83,63
443,36,36,83,83,83,83,36
444,83,83,87,31,87,87,87
445,83,83,18,18,18,18,83
446,49,83,49,49,49,83,49
447,83,83,49,83,83,49,83
448,49,83,83,83,49,83,49
449,73,87,87,52,52,74,52
450,87,87,74,87,73,74,74
451,77,51,77,77,77,86,84
452,83,73,73,83,73,73,51
453,83,56,56,56,73,73,83
454,69,80,80,69,69,69,80
455,70,70,73,70,73,73,70
456,73,77,77,70,77,77,70
457,80,80,76,80,70,76,74
458,80,80,80,68,68,68,80
459,80,68,80,68,68,80,80
460,80,68,68,68,80,68,80
461,68,80,80,68,80,68,68
462,65,80,65,65,65,86,65
463,67,74,74,67,74,67,67
464,80,80,80,67,80,67,80
465,86,74,67,67,67,86,74
466,88,88,65,88,65,88,88
467,66,80,80,80,66,80,66
468,80,80,80,80,66,66,80
469,66,80,66,80,66,80,66
470,66,66,90,90,90,66,90
471,80,89,80,69,69,69,69
472,81,81,69,81,69,69,74
473,76,69,76,75,69,84,76
474,36,87,89,87,87,89,89
475,69,80,69,69,69,69,80
476,77,69,77,77,77,77,69
477,77,76,76,76,69,69,69
478,77,86,86,77,77,77,86
479,88,88,85,31,31,31,85
480,77,32,88,32,77,77,32
481,80,33,80,80,33,33,33
482,32,77,32,78,77,77,78
483,80,80,89,89,86,15,86
484,82,14,82,82,14,85,82
485,37,84,86,84,37,37,84
486,77,77,27,27,77,27,27
487,86,86,26,86,26,77,26
488,82,23,23,82,82,23,82
489,86,86,86,86,19,19,86
490,28,28,28,77,86,77,88
491,11,11,74,73,11,73,74
492,80,28,80,80,80,28,80
493,7,85,85,7,85,7,7
494,13,13,13,13,13,77,77
495,77,77,29,74,74,74,77
496,80,19,80,19,80,80,19
497,11,77,11,77,77,77,77
498,86,86,86,73,24,73,89
499,80,31,31,80,31,80,31
500,69,69,76,76,69,74,76
501,75,84,14,76,14,76,76
502,89,89,77,44,77,44,44
503,45,45,45,45,80,80,45
504,40,80,40,80,80,40,80
505,85,27,85,88,85,27,88
506,80,28,28,28,80,28,80
507,80,80,24,24,24,24,24
508,69,69,80,80,69,80,80
509,62,62,62,62,80,80,80
510,27,27,27,73,73,90,27
511,35,74,74,89,35,35,35
512,77,60,77,60,60,60,77
513,88,22,88,88,22,22,85
514,77,77,77,77,86,86,50
515,89,70,80,89,73,70,80
516,77,77,56,56,56,56,77
517,86,52,86,77,80,77,77
518,80,80,80,80,80,80,80
519,21,21,74,21,74,74,74
520,74,74,36,36,36,89,74
521,80,51,89,80,80,80,51
522,77,77,80,77,77,59,59
523,40,40,40,77,80,40,80
524,13,13,13,77,13,77,77
525,19,85,85,85,85,19,85
526,80,73,32,32,74,80,73
527,55,55,80,55,55,55,55
528,80,89,80,89,57,57,80
529,58,58,80,58,80,80,80
530,74,48,48,74,48,74,48
531,80,69,69,80,86,86,80
532,70,70,86,70,70,86,86
533,85,70,85,70,70,85,70
534,80,70,80,80,80,70,80
535,77,70,70,70,86,77,77
536,80,80,80,70,70,80,70
537,80,64,80,64,64,64,64
538,75,70,76,84,84,84,70
539,77,76,76,77,76,76,70
540,68,68,73,73,68,73,73
541,68,74,73,73,74,74,74
542,86,84,75,86,75,84,68
543,80,80,68,80,68,80,80
544,78,69,69,69,69,80,86
545,77,68,86,77,86,86,77
546,88,73,88,73,73,88,88
547,69,78,69,78,69,78,78
548,76,81,69,69,76,81,76
549,80,80,86,80,86,89,89
550,68,88,88,73,88,88,73
551,68,68,68,83,68,83,83
552,68,87,68,68,87,68,68
553,80,68,86,80,86,68,86
554,74,74,68,68,68,74,73
555,68,68,80,80,68,68,68
556,90,68,90,90,68,90,68
557,84,84,80,67,67,84,84
558,67,88,88,88,67,80,81
559,67,83,80,83,83,80,83
560,77,87,74,74,68,74,81
561,67,67,80,80,67,83,67
562,74,73,90,74,90,68,68
563,83,83,68,83,83,68,68
564,77,77,68,83,77,77,83
565,88,83,83,88,88,83,88
566,74,67,88,73,67,74,67
567,67,83,83,83,67,83,83
568,86,67,73,67,67,67,88
569,83,67,80,67,83,83,80
570,67,67,90,67,90,90,90
571,88,88,66,77,88,88,77
572,88,88,73,73,73,73,67
573,66,83,66,88,88,66,88
574,86,86,66,66,86,66,88
575,90,67,90,67,67,77,67
576,74,74,73,74,78,66,78
577,77,77,87,77,87,87,87
578,87,73,87,73,87,87,73
579,77,66,77,77,77,77,77
580,68,77,68,68,68,77,68
581,80,66,80,88,80,80,80
582,86,80,80,66,66,86,86
583,78,88,66,78,66,88,88
584,80,66,80,76,66,76,76
585,66,66,77,77,66,77,77
586,67,67,67,67,67,67,67
587,66,85,80,66,80,80,85
588,64,84,76,75,64,64,84
589,42,42,42,90,90,90,90
590,83,87,69,87,87,73,73
591,88,69,80,88,88,69,80
592,68,88,88,88,88,68,88
593,89,66,89,66,89,89,89
594,80,86,80,69,69,69,69
595,69,88,69,88,69,69,69
596,75,75,84,75,75,84,84
597,88,69,73,88,69,73,69
598,69,77,69,77,69,69,77
599,73,73,73,69,69,69,69
600,69,69,76,76,76,69,76
601,74,74,74,89,16,89,74
602,84,84,86,24,84,24,84
603,88,27,85,88,88,27,88
604,7,7,77,77,7,77,7
605,84,17,17,17,84,84,17
606,23,80,23,23,23,80,80
607,88,86,86,88,86,13,13
608,88,88,18,88,18,18,86
609,77,77,77,23,77,77,23
610,84,84,84,84,31,84,31
611,78,17,82,82,78,82,85
612,80,10,80,80,80,10,10
613,9,9,77,77,77,77,77
614,80,29,29,29,29,29,80
615,8,8,8,8,8,88,8
616,83,83,83,41,87,83,83
617,80,80,80,3,3,3,80
618,80,28,28,80,80,28,28
619,88,80,80,80,80,88,88
620,69,80,80,80,80,69,80
621,90,90,28,90,90,90,28
622,33,74,76,76,74,76,76
623,76,77,76,67,77,77,67
624,76,75,84,75,76,75,75
625,76,76,76,36,75,36,75
626,76,76,76,80,22,76,22
627,80,80,80,80,64,64,64
628,80,78,69,69,78,78,80
629,55,77,77,77,77,84,55
630,84,84,38,38,77,84,38
631,89,73,86,86,80,73,89
632,80,80,80,55,80,80,80
633,80,11,11,11,11,11,11
634,69,69,69,69,69,79,69
635,53,53,53,83,83,83,83
636,54,74,88,73,87,54,74
637,77,83,83,83,77,83,83
638,80,55,55,55,80,80,55
639,80,52,80,52,80,80,52
640,80,80,62,62,80,62,62
641,80,89,89,89,80,80,89
642,82,63,82,80,63,80,82
643,67,86,86,80,80,86,80
644,61,79,79,61,79,79,61
645,63,63,79,63,63,63,79
646,90,90,90,90,90,90,90
647,58,89,58,58,89,58,58
648,86,25,86,77,25,86,86
649,78,88,57,88,88,80,57
650,80,30,30,80,30,80,30
651,80,73,62,80,73,80,73
652,80,77,63,63,63,77,63
653,78,31,82,88,88,82,82
654,88,82,47,82,88,85,85
655,77,74,74,59,59,59,74
656,82,78,4,88,4,82,88
657,35,82,35,35,35,88,35
658,63,63,63,80,80,63,63
659,88,77,77,85,85,77,85
660,64,80,80,80,80,80,80
661,25,25,25,90,25,25,25
662,80,80,53,53,53,86,80
663,77,77,52,52,77,77,77
664,80,80,80,80,57,57,80
665,87,65,83,65,87,65,65
666,47,47,83,47,47,83,83
667,83,83,83,83,50,83,50
668,73,54,73,54,54,54,83
669,83,64,83,83,64,83,83
670,87,88,88,87,66,83,83
671,8,83,83,8,83,8,83
672,65,83,65,83,65,65,83
673,35,88,88,88,35,82,88
674,83,55,55,55,83,83,55
675,1,1,83,83,1,83,1
676,80,69,69,80,80,69,69
677,79,70,70,79,70,70,79
678,80,80,88,80,70,88,88
679,73,54,74,74,73,73,73
680,73,74,70,70,70,74,74
681,70,70,70,70,83,70,70
682,88,70,70,85,70,70,83
683,77,70,70,70,70,77,77
684,73,73,66,88,73,88,66
685,69,69,88,73,69,69,69
686,80,66,73,80,80,66,80
687,77,89,77,77,70,70,77
688,70,70,77,70,77,77,77
689,70,70,73,88,88,73,70
690,80,89,80,89,80,89,89
691,82,87,82,71,82,88,82
692,77,77,86,77,86,68,77
693,80,80,80,68,68,68,80
694,86,68,68,68,86,86,68
695,77,68,80,77,77,77,68
696,80,80,69,69,69,80,88
697,68,80,68,68,80,68,80
698,67,67,80,67,80,80,80
699,67,80,67,80,67,67,67
700,68,77,77,68,68,68,68
701,79,79,66,66,79,79,66
702,77,67,77,67,86,67,77
703,80,80,67,67,67,67,80
704,86,80,86,80,66,86,66
705,25,84,25,25,84,25,84
706,83,83,83,83,83,83,69
707,64,64,64,80,64,64,64
708,62,62,80,80,80,80,80
709,65,86,77,65,86,65,77
710,77,58,77,77,77,58,58
711,80,80,69,69,80,80,80
712,77,60,77,60,60,80,80
713,80,68,80,80,80,80,80
714,86,86,86,86,80,68,80
715,68,68,80,77,68,77,80
716,80,86,86,80,68,68,86
717,80,69,88,80,88,69,88
718,77,69,69,77,77,77,77
719,89,67,77,67,89,67,77
720,86,73,86,68,73,86,74
721,68,77,77,68,77,68,77
722,77,77,68,68,68,77,68
723,68,68,68,80,68,77,77
724,68,68,80,80,80,68,80
725,67,77,67,67,77,77,77
726,68,68,76,76,68,76,80
727,67,86,80,80,80,67,86
728,77,87,67,67,67,67,87
729,67,80,67,67,80,67,67
730,80,69,69,80,80,80,69
731,86,67,80,80,80,67,80
732,66,77,86,66,86,86,86
733,80,67,80,86,67,67,67
734,77,66,77,77,66,77,77
735,66,80,80,80,80,80,80
736,86,66,66,80,80,66,80
737,80,67,67,80,77,77,67
738,77,86,77,86,86,67,77
739,77,63,77,86,86,77,77
740,86,86,80,86,86,80,69
741,88,88,88,88,69,88,69
742,88,69,88,80,69,88,69
743,69,88,88,73,69,69,73
744,80,89,69,69,89,69,89
745,45,45,45,45,45,45,45
746,58,77,77,77,58,58,58
747,66,66,77,86,66,86,77
748,70,88,86,86,73,73,86
749,70,86,86,77,77,86,86
750,80,70,70,70,70,80,70
751,70,86,88,70,70,70,88
752,71,73,71,73,71,88,88
753,67,80,80,80,80,67,80
754,78,70,88,78,88,88,78
755,76,76,73,87,76,74,68
756,77,77,77,68,77,77,77
757,68,79,68,68,79,68,79
758,88,69,88,88,87,87,88
759,68,73,68,68,68,68,73
760,68,87,68,68,68,68,68
761,68,68,73,73,73,68,88
762,80,69,69,80,69,80,69
763,77,69,77,69,77,69,69
764,69,69,69,86,77,77,77
765,77,77,65,65,77,77,86
766,79,69,79,69,79,69,79
767,83,68,83,68,68,68,68
768,76,74,76,76,74,68,68
769,68,68,74,73,87,85,68
770,78,85,82,82,85,68,88
771,73,88,87,87,73,88,73
772,80,68,80,68,80,68,80
773,88,88,88,67,88,67,67
774,68,83,83,83,83,83,83
775,68,86,86,68,68,86,86
776,80,68,68,68,80,80,68
777,83,68,83,68,83,68,68
778,80,86,77,77,80,86,68
779,73,67,73,73,67,73,73
780,77,67,77,77,77,67,67
781,68,77,86,86,86,68,86
782,80,67,80,67,80,67,67
783,86,86,77,77,86,86,67
784,83,66,66,66,83,80,83
785,77,77,77,86,86,67,67
786,86,86,68,68,77,77,86
787,80,68,77,77,77,77,68
788,88,83,83,83,83,83,67
789,68,68,77,77,77,77,77
790,77,77,68,68,77,77,77
791,68,76,68,76,76,76,76
792,67,77,77,67,67,77,67
793,77,67,67,77,67,67,67
794,86,86,67,80,80,86,86
795,67,77,67,67,77,67,76
796,67,86,77,77,67,86,77
797,67,87,87,87,67,87,73
798,68,68,68,73,73,68,68
799,68,80,68,68,80,80,68
800,83,88,88,83,83,88,88
801,67,77,77,77,67,67,67
802,88,74,78,74,78,88,66
803,73,80,80,73,80,66,89
804,77,77,67,67,77,77,77
805,66,77,77,77,77,77,77
806,66,78,80,66,80,66,78
807,80,66,80,80,66,80,66
808,80,66,73,73,66,80,80
809,73,80,73,73,73,73,66
810,73,73,67,67,73,67,67
811,79,79,79,79,66,66,66
812,67,74,67,76,67,67,67
813,69,79,69,79,79,79,69
814,79,67,67,79,67,79,67
815,80,86,86,86,86,80,86
816,83,83,68,83,68,68,68
817,80,80,69,80,69,69,80
818,77,69,77,77,77,69,77
819,77,69,77,69,69,69,69
820,77,74,75,77,75,74,69
821,77,86,86,69,69,86,69
822,41,80,41,41,41,80,80
823,88,82,78,88,69,69,78
824,77,69,77,77,69,77,77
825,88,69,88,87,69,88,87
826,74,69,74,74,74,74,74
827,69,73,74,69,88,73,69
828,76,76,69,74,76,69,69
829,74,69,74,69,73,69,74
830,88,88,69,69,88,73,85
831,88,88,69,88,88,88,87
832,80,80,81,69,80,69,81
833,73,73,69,69,69,73,73
834,88,68,88,88,88,88,68
835,7,7,77,77,84,86,86
836,12,12,77,77,12,86,12
837,14,80,80,80,14,80,14
838,73,73,73,73,69,69,73
839,88,83,88,88,88,88,88
840,73,90,69,73,90,73,80
841,73,73,73,88,88,88,73
842,76,76,33,33,77,76,80
843,77,32,32,77,77,77,76
844,78,78,78,78,69,78,69
845,77,69,77,77,69,77,77
846,80,80,80,69,69,69,69
847,79,80,69,79,79,69,69
848,82,88,82,82,88,17,88
849,73,73,86,86,63,86,73
850,69,79,79,79,79,79,69
851,39,39,80,80,80,80,39
852,88,88,88,80,69,69,80
853,77,77,83,83,65,77,65
854,83,60,83,77,60,77,60
855,86,73,73,85,54,54,80
856,80,80,80,64,77,80,77
857,69,79,69,79,79,79,69
858,83,69,83,83,83,83,83
859,77,77,59,83,77,77,59
860,83,83,88,88,83,88,83
861,59,59,83,59,59,83,59
862,76,76,69,76,77,77,76
863,80,80,69,69,69,69,69
864,77,77,77,77,77,69,69
865,80,70,80,70,70,70,80
866,69,86,77,77,86,69,77
867,80,69,69,69,69,80,80
868,70,70,70,80,70,80,80
869,70,70,77,70,70,77,70
870,86,70,70,70,86,86,70
871,77,77,77,77,70,70,77
872,86,86,70,86,86,70,70
873,86,70,86,77,70,70,86
